filename,name,quantity,weight,height,length,width
06933.jpg,moroso 74299 mini starter heat shield,2,0.25,2.0,13.9,8.5
07621.jpg,dunecraft carol cactus science kit; o'neill men's tech 24/7 long sleeve sun shirt men's l light olive/combat/black (4242),3,0.1,0.77,0.93,0.93
115619.jpg,"alex toys craft knot a quilt kit; wellness core grain free indoor chicken & turkey natural dry cat food, 12-pound bag",4,4.13,3.37,13.9,11.54
106035.jpg,"petmate furbuster pet hair collector, teal/pearl; martha stewart crafts stickers, country doily large wood seals; panasonic best in class wireless bluetooth on-ear stereo headphones with mic/controller rp-btd5-k (black) 40 hours of playback, powerful sound, iphone, android compatible",4,0.42,1.3,9.0,5.3
104008.jpg,"wireless charger,itian&trade;qi 3-coil wireless charging stand a6 for samsung galaxy s7 s7 edge note5 s6 edge plus s6 s6 edge lg g3 g2 google nexus4 5 6 7(ac adapter not included)-black",1,0.7,3.4,9.0,4.2
112426.jpg,"mccormick basil leaves, 5-ounce; hero-led ps-12lps200-dim etl-listed dimmable led constant voltage power supply - dimmble led transformer 12v dc, 16.7a, 200w; alice through the looking glass chromosphere necklace",4,0.84,2.25,8.92,4.95
02589.jpg,35 pack creative hands by fibre-craft - multicolored foam daisy shapes - teaches creativity - multipurpose -,2,0.25,2.7,6.1,5.9
103667.jpg,"university of northern colorado garden flag and yard banner; 4-pack philips 419762 39-watt par20 ecovantage dimmable flood light light bulb,; cycle torch night owl bike light usb rechargeable - perfect urban commuter bicycle light set - bright tail light included - compatible with mountain, road ,kids & city bicycles (sky blue); tootsie fruit rolls assorted flavors (1 lb) - with bonus item",5,0.6,1.82,8.06,4.06
08184.jpg,"(pack of 3) the organic coffee co. ground, french roast, 12 ounce; discraft buzzz elite z fly dye golf disc, 170-172 grams",2,1.88,3.1,8.75,8.5
102975.jpg,dlll rgb ufo led light full color changing stage light transparent white led stage light 48led ac100-240v us plug dj disco club home party light/disco dj stage lighting led rgb crystal light dj disco ktv birthday party wedding show club pub bar,2,0.25,2.3,5.5,5.4
